App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating
Zoom Pro 2025,BUSINESS,4.5,1000000,40M,"10,000,000+",Free,$0.00,Everyone
YouTube Mini,ENTERTAINMENT,4.6,300000,60M,"5,000,000+",Free,$0.00,Everyone
Learn Python AI,EDUCATION,4.9,50000,22M,"800,000+",Paid,$1.99,Everyone
FitLife Coach,HEALTH_AND_FITNESS,4.7,120000,50M,"1,000,000+",Free,$0.00,Everyone
Word Battle 5,GAME,4.2,80000,35M,"600,000+",Paid,$2.99,Teen
GameMaster Pro,GAME,4.3,70000,33M,"900,000+",Paid,$1.49,Teen
Calm Mind Pro,HEALTH_AND_FITNESS,4.8,55000,28M,"500,000+",Paid,$2.99,Everyone
Kids Drawing App,EDUCATION,4.6,48000,45M,"600,000+",Free,$0.00,Everyone
Finance Tracker,FINANCE,4.4,90000,36M,"1,200,000+",Free,$0.00,Everyone
Note Maker 2025,PRODUCTIVITY,4.1,65000,34M,"1,000,000+",Free,$0.00,Everyone
Study Mate,EDUCATION,4.7,72000,32M,"850,000+",Paid,$1.49,Everyone
Health Hero,HEALTH_AND_FITNESS,4.6,58000,31M,"700,000+",Free,$0.00,Everyone
Music Magic,MUSIC,4.5,47000,41M,"950,000+",Paid,$2.49,Teen
ChatMaster Ultra,COMMUNICATION,4.8,88000,38M,"2,000,000+",Free,$0.00,Teen
Weather Watcher,WEATHER,4.2,40000,30M,"500,000+",Free,$0.00,Everyone
